,opt,beta1,beta2,seed,epoch,loss,val_mae,test_mae,lr,env,optimizer,learning_rate
0,AMSGrad,0.9,0.9,seed10,1,0.6889129796981811,0.5132997665405273,0.5366006698608399,0.0001,zinc,AMSGrad,5.0e-04
0,AMSGrad+,0.9,0.999,seed10,1,0.6889129796981811,0.5132997665405273,0.5366006698608399,0.0001,zinc,AMSGrad+,5.0e-04
17,Lion,0.9,0.999,seed10,1,0.6635692985534668,0.5231814384460449,0.5364259185791016,0.0001,zinc,Lion,2.5e-04
6,Adam,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,Adam,5.0e-04
6,PIDAOSI,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,PIDAOSI,5.0e-04
6,AdaShift,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,AdaShift,5.0e-04
6,RMSprop,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,RMSprop,5.0e-04
10,Adopt,0.9,0.999,seed10,1,0.7126384494781494,0.533868408203125,0.5634747161865234,0.0001,zinc,Adopt,5.0e-04
3,AdaGrad,0.9,0.999,seed10,1,0.667220982170105,0.5612722148895264,0.5827000427246094,0.001,zinc,AdaGrad,2.5e-03
1,AdaBelief,0.9,0.999,seed10,1,0.6838300283432007,0.5637642879486084,0.6032618827819825,0.0001,zinc,AdaBelief,5.0e-04
13,Lamb,0.9,0.999,seed10,1,0.7504232007026672,0.586613862991333,0.6129092960357666,0.001,zinc,Lamb,5.0e-03
2,AdaBound,0.9,0.999,seed10,1,0.7034040769577027,0.6006949386596679,0.6483523387908936,0.0001,zinc,AdaBound,5.0e-04
16,LambPlus,0.9,0.999,seed10,1,0.776899312210083,0.8353817176818847,0.8754047813415528,0.001,zinc,LambPlus,0.005
7,AdamPlus,0.5,0.5,seed10,1,0.7240054303169251,0.6200447597503662,0.6128099422454834,0.0001,zinc,AdamPlus,2.5e-04
18,Adam4,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,Adam4,2.5e-04
20,Adam41,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,Adam41,2.5e-04
22,Adam42,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,Adam42,2.5e-04
24,AdamW+,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,AdamW+,2.5e-04
29,AdamW,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,AdamW,5.0e-04
30,AdamW4,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,AdamW4,2.5e-04
30,AdamW41,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,AdamW41,2.5e-04
30,AdamW42,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,AdamW42,2.5e-04
8,AdamPlus,0.9,0.9,seed10,1,0.7272099154472351,0.5706301097869872,0.5880226783752441,0.0001,zinc,AdamPlus,5.0e-04
19,Adam4,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam4,5.0e-04
21,Adam41,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam41,5.0e-04
23,Adam42,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam42,5.0e-04
25,AdamW+,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,AdamW+,5.0e-04
31,AdamW4,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,AdamW4,5.0e-04
31,AdamW41,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,AdamW41,5.0e-04
31,AdamW42,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,AdamW42,5.0e-04
9,AdamPlus,0.9,0.999,seed10,1,0.7179727308273316,0.627714708328247,0.6359603881835938,0.0001,zinc,AdamPlus,5.0e-04
19,Adam4,0.9,0.999,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam4,5.0e-04
21,Adam41,0.9,0.999,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam41,5.0e-04
23,Adam42,0.9,0.999,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam42,5.0e-04
26,AdamW+,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,AdamW+,5.0e-04
32,AdamW4,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,AdamW4,5.0e-04
32,AdamW41,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,AdamW41,5.0e-04
32,AdamW42,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,AdamW42,5.0e-04
40,AdaBeliefW,0.9,0.999,seed10,1,0.6838300283432007,0.5637642879486084,0.6032618827819825,0.0001,zinc,AdaBeliefW,5.0e-04
0,AMSGrad,0.9,0.999,seed10,1,0.6889129796981811,0.5132997665405273,0.5366006698608399,0.0001,zinc,AMSGrad,5.0e-04
24,Adam+,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,Adam+,2.5e-04
25,Adam+,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam+,5.0e-04
26,Adam+,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,Adam+,5.0e-04
24,Adam2,0.5,0.5,seed10,1,0.6969989787101746,0.5972591094970703,0.6324676895141601,0.0001,zinc,Adam2,2.5e-04
25,Adam2,0.9,0.9,seed10,1,0.6974005735397338,0.5495623836517334,0.583326099395752,0.0001,zinc,Adam2,5.0e-04
26,Adam2,0.9,0.999,seed10,1,0.6922723342895508,0.5318967475891113,0.5515419483184815,0.0001,zinc,Adam2,5.0e-04
